date,home,away,home_score,away_score,p_home,p_draw,p_away,expected_goals,brier,log_loss,correct
2022-11-20,Qatar,Ecuador,0,2,0.1546,0.2092,0.6362,2.7787,0.20001624,0.45224229966709334,1
2022-11-21,Senegal,Netherlands,0,2,0.2405,0.2707,0.4888,2.4105,0.39244418,0.7158018711247515,1
2022-11-21,England,Iran,6,2,0.6115,0.2428,0.1457,2.3218,0.23111257999999996,0.49184032385490994,1
2022-11-21,United States,Wales,1,1,0.3527,0.293,0.3543,2.1351,0.7497747800000001,1.2275826699650698,0
2022-11-22,Argentina,Saudi Arabia,1,2,0.7772,0.164,0.0588,2.5623,1.5167932800000001,2.833613424077556,0
2022-11-22,Mexico,Poland,0,0,0.3722,0.276,0.3518,2.3386,0.78647208,1.287354413264987,0
2022-11-22,Denmark,Tunisia,0,0,0.5047,0.2891,0.2062,2.0354,0.80261934,1.2409826299598365,0
2022-11-22,France,Australia,4,1,0.6021,0.2376,0.1603,2.4708,0.24047426000000005,0.507331734511735,1
2022-11-23,Germany,Japan,1,2,0.502,0.2464,0.2516,2.802,0.87281952,1.3799147541558516,0
2022-11-23,Spain,Costa Rica,7,0,0.8453,0.1097,0.045,3.3524,0.037991179999999986,0.168063685047255,1
2022-11-23,Morocco,Croatia,0,0,0.343,0.3138,0.3432,1.9017,0.7063056799999999,1.1589994386832048,0
2022-11-23,Belgium,Canada,1,0,0.6151,0.2178,0.1671,2.6663,0.22350726000000004,0.4859704227678145,1
2022-11-24,Switzerland,Cameroon,1,0,0.5607,0.2479,0.1914,2.319,0.29107286,0.5785692758525103,1
2022-11-24,Brazil,Serbia,2,0,0.6522,0.2151,0.1327,2.4826,0.18484214000000002,0.42740401562691827,1
2022-11-24,Uruguay,South Korea,0,0,0.5219,0.2769,0.2012,2.0999,0.8357346600000002,1.284098848805221,0
2022-11-24,Portugal,Ghana,3,2,0.7343,0.176,0.0897,2.91,0.10961858000000002,0.3088376145245723,1
2022-11-25,Qatar,Senegal,1,3,0.1858,0.2094,0.6048,2.9298,0.23455304,0.5028574541168138,1
2022-11-25,Netherlands,Ecuador,1,1,0.4556,0.2745,0.2699,2.2357,0.80676762,1.2928040180325517,0
2022-11-25,Wales,Iran,0,2,0.3174,0.2954,0.3872,2.0834,0.56352776,0.9488139235797152,1
2022-11-25,England,United States,0,0,0.6562,0.2218,0.122,2.4235,1.05107768,1.5059792040658704,0
2022-11-26,Poland,Saudi Arabia,2,0,0.5374,0.2605,0.2021,2.3505,0.32270342,0.6210125828007462,1
2022-11-26,Argentina,Mexico,2,0,0.6398,0.235,0.1252,2.2561,0.20064407999999997,0.44659965146671937,1
2022-11-26,Tunisia,Australia,0,1,0.3057,0.3111,0.3832,1.9312,0.57067794,0.9591982328854316,1
2022-11-26,France,Denmark,2,1,0.481,0.2664,0.2526,2.2667,0.40413672,0.731888008876376,1
2022-11-27,Japan,Costa Rica,0,1,0.6321,0.2133,0.1546,2.5999,1.15974846,1.8669141428288156,0
2022-11-27,Spain,Germany,1,1,0.5194,0.2387,0.2419,2.9144,0.9078696599999999,1.4325477456373528,0
2022-11-27,Belgium,Morocco,0,2,0.3872,0.3059,0.3069,1.9911,0.7238862600000001,1.1812333173564464,0
2022-11-27,Croatia,Canada,4,1,0.5464,0.2541,0.1995,2.4225,0.31012002,0.6044039707255567,1
2022-11-28,Cameroon,Serbia,3,3,0.2702,0.2914,0.4384,2.1219,0.7673165599999999,1.2330583852210326,0
2022-11-28,Brazil,Switzerland,1,0,0.5693,0.2414,0.1893,2.4586,0.27961094,0.5633477430251008,1
2022-11-28,South Korea,Ghana,2,3,0.4468,0.2712,0.282,2.3305,0.78870368,1.2658482080440236,0
2022-11-28,Portugal,Uruguay,2,0,0.4225,0.2877,0.2898,2.1581,0.50026158,0.8615658321849086,1
2022-11-29,Ecuador,Senegal,1,2,0.3586,0.3362,0.3052,1.8181,0.7243714399999999,1.186787979571835,0
2022-11-29,Qatar,Netherlands,0,2,0.0853,0.1301,0.7846,3.8347,0.07059926000000001,0.24258124520668492,1
2022-11-29,Wales,England,0,3,0.1242,0.2306,0.6452,2.234,0.19448504,0.4381949327310833,1
2022-11-29,Iran,United States,0,1,0.3885,0.2877,0.3238,2.2528,0.6909499800000001,1.1276292377386024,0
2022-11-30,Poland,Argentina,0,2,0.1236,0.2105,0.6659,2.6073,0.17121001999999996,0.4066157698655603,1
2022-11-30,Saudi Arabia,Mexico,1,2,0.2065,0.2928,0.5007,2.0123,0.37767458,0.6917481596462379,1
2022-11-30,Australia,Denmark,1,0,0.2496,0.2657,0.4847,2.2896,0.86863074,1.3878956424868645,0
2022-11-30,Tunisia,France,1,0,0.1363,0.2365,0.6272,2.2276,1.19528978,1.9928969402796501,0
2022-12-01,Japan,Spain,2,1,0.1603,0.22,0.6197,2.667,1.13752418,1.8307082193666298,0
2022-12-01,Costa Rica,Germany,2,4,0.0758,0.1496,0.7746,3.2862,0.07893096000000002,0.2554085119014853,1
2022-12-01,Croatia,Belgium,0,0,0.3185,0.2662,0.4153,2.513,0.81237878,1.3235073730211258,0
2022-12-01,Canada,Morocco,1,2,0.1859,0.3011,0.513,1.938,0.36238901999999995,0.6674794338113675,1
2022-12-02,Serbia,Switzerland,2,3,0.2706,0.2698,0.4596,2.4612,0.43804856,0.7773987330075364,1
2022-12-02,Cameroon,Brazil,1,0,0.089,0.2119,0.6991,2.3692,1.3635634200000002,2.419118909249997,0
2022-12-02,Ghana,Uruguay,0,2,0.1436,0.2403,0.6161,2.2457,0.22574426000000003,0.48434599096161207,1
2022-12-02,South Korea,Portugal,2,1,0.1392,0.2159,0.6449,2.7167,1.20348546,1.9718435310818179,0
2022-12-03,Netherlands,United States,3,1,0.6358,0.2102,0.154,2.8687,0.20054168,0.45287123050543465,1
2022-12-03,Argentina,Australia,2,1,0.653,0.2196,0.1274,2.4756,0.18486392,0.42617814970570594,1
2022-12-04,France,Poland,3,1,0.6344,0.2125,0.1531,2.779,0.20225922000000002,0.4550756086614989,1
2022-12-04,England,Senegal,3,0,0.5613,0.2584,0.1803,2.205,0.29173634,0.5774997570339834,1
2022-12-05,Japan,Croatia,1,1,0.3136,0.2704,0.416,2.502,0.8037171200000001,1.307852934813328,0
2022-12-05,Brazil,South Korea,4,1,0.6912,0.2028,0.106,2.6943,0.14772127999999998,0.36932606149229114,1
2022-12-06,Morocco,Spain,0,0,0.2075,0.2771,0.5154,2.0796,0.83127782,1.2833768271132042,0
2022-12-06,Portugal,Switzerland,6,1,0.5069,0.2478,0.2453,2.6425,0.36472454,0.6794415335038333,1
2022-12-09,Croatia,Brazil,1,1,0.214,0.2652,0.5208,2.4369,0.85695968,1.3272710206704297,0
2022-12-09,Netherlands,Argentina,2,2,0.2595,0.2682,0.4723,2.4843,0.82593878,1.316022308134559,0
2022-12-10,Morocco,Portugal,1,0,0.2583,0.2922,0.4495,2.0616,0.83754998,1.3536335788803424,0
2022-12-10,England,France,1,2,0.3697,0.2913,0.339,2.1968,0.65845478,1.0817551716016867,0
2022-12-13,Argentina,Croatia,3,0,0.5307,0.2645,0.2048,2.32,0.33214578,0.6335583891482879,1
2022-12-14,France,Morocco,2,0,0.458,0.3061,0.2359,1.9448,0.44311002,0.780886094867952,1
2022-12-17,Croatia,Morocco,2,1,0.3417,0.3181,0.3402,1.9151,0.6502825400000001,1.0738221198608908,1
2022-12-18,Argentina,France,3,3,0.4117,0.2837,0.3046,2.1859,0.77536374,1.2598379371673314,0
