date,home,away,home_score,away_score,p_home,p_draw,p_away,expected_goals,brier,log_loss,correct
2018-06-28,Panama,Tunisia,1,2,0.2137,0.2758,0.5105,2.1597,0.36134358000000005,0.6723646413774169,1
2018-06-28,England,Belgium,0,1,0.4648,0.2721,0.2631,2.372,0.83309906,1.33522109093589,0
2018-06-30,France,Argentina,4,3,0.3116,0.2795,0.4089,2.3343,0.7192140200000001,1.166034964985544,0
2018-06-30,Uruguay,Portugal,2,1,0.2925,0.2641,0.4434,2.4285,0.76690862,1.2292906123102258,0
2018-07-01,Russia,Spain,1,1,0.1596,0.1897,0.6507,3.3388,1.1054687399999998,1.6623114020411685,0
2018-07-01,Croatia,Denmark,1,1,0.3689,0.2659,0.3652,2.6202,0.80836106,1.3246349807331628,0
2018-07-02,Brazil,Mexico,2,0,0.6658,0.2028,0.1314,2.6379,0.17008344000000003,0.40676595384121256,1
2018-07-02,Belgium,Japan,3,2,0.4855,0.2362,0.2783,2.8953,0.39795157999999997,0.7225759912507574,1
2018-07-03,Sweden,Switzerland,1,0,0.2941,0.2382,0.4677,2.9995,0.77377734,1.2238354334221877,0
2018-07-03,Colombia,England,1,1,0.2875,0.2707,0.4418,2.4673,0.8097219800000001,1.3067440823618817,0
2018-07-06,Uruguay,France,0,2,0.2562,0.2745,0.4693,2.3411,0.42263118,0.7565130561817651,1
2018-07-06,Brazil,Belgium,1,2,0.4981,0.2549,0.247,2.6861,0.8800866199999999,1.3983669423541598,0
2018-07-07,Sweden,England,0,2,0.1491,0.2002,0.6507,2.9086,0.18432134000000006,0.42970657248119876,1
2018-07-07,Russia,Croatia,2,2,0.3355,0.2461,0.4184,3.0866,0.8559840200000001,1.4020173215851268,0
2018-07-10,France,Belgium,1,0,0.4599,0.2486,0.2915,2.7705,0.43848222,0.776746204436259,1
2018-07-11,Croatia,England,2,1,0.2303,0.2475,0.5222,2.6021,0.9263871800000001,1.4683724721554976,0
2018-07-14,Belgium,England,2,0,0.2631,0.2472,0.4897,2.6704,0.8439355400000002,1.33522109093589,0
2018-07-15,France,Croatia,4,2,0.5098,0.2436,0.2466,2.7281,0.36044856,0.673736787040122,1
